Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Panama,PAN,43.58944565,34.39784934,26.22326101,19.93740572,19.14038946,20.61955102,20.31333379,19.77078859,21.23415234,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Papua New Guinea,PNG,71.70041076,66.37890711,56.01605302,55.2524869,54.73322636,55.46508172,53.99550997,52.55234961,52.49865195,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Paraguay,PRY,78.50645262,70.41173574,66.39284642,64.249376,63.11141223,62.67748634,63.10270154,63.11693531,61.67699459,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Peru,PER,39.4258282,32.1550549,28.06084509,30.79721128,29.54725883,28.25329448,25.98338532,25.99686493,25.50390552,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Philippines,PHL,50.9465674,34.84503162,31.2239207,28.81183559,29.39878283,30.22468995,29.30716135,28.58217185,27.45154445,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Poland,POL,2.501484839,6.926653185,8.842062692,9.488623858,10.43787918,10.91514325,11.41337981,11.56931553,11.91148821,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Portugal,PRT,26.94447493,20.11402495,24.89454299,27.82797757,27.21910302,25.51744089,30.17205521,30.45700808,27.15729839,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Puerto Rico,PRI,1.746942855,0.733473891,0.733664639,0.573634039,0.673052168,0.698647347,1.393244137,1.627869144,1.837446383,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Qatar,QAT,0,0,0,0,0,0,0,0,0,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Romania,ROU,3.355765883,16.36718689,22.18226968,24.09570704,21.11273621,21.55095917,23.0902322,24.3318801,23.69779403,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Russian Federation,RUS,3.751939258,3.497189098,3.599623033,3.342748397,3.227795536,3.354041116,3.744504114,3.422426946,3.304228351,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Rwanda,RWA,80.08755822,86.67852456,90.54192683,90.65552908,89.64481259,88.78529096,88.47424848,88.18130377,86.65537429,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Samoa,WSM,46.20460855,45.37231363,45.68830371,46.75466992,39.81963693,40.12092744,42.25371508,42.33507744,34.32489441,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sao Tome and Principe,STP,50.92907396,54.72895742,45.40838959,43.75954955,43.11961536,41.24606123,41.3950243,41.80943769,41.05599898,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Saudi Arabia,SAU,0.037984679,0.009117777,0.007049215,0.006254908,0.006841222,0.006455407,0.006374478,0.006008742,0.005976542,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Senegal,SEN,55.55101113,47.51524555,51.95856714,50.26046684,48.6553647,50.36974551,43.59382927,43.35706358,42.71175163,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Serbia,SRB,15.49165266,23.58647717,20.82235705,20.59508764,17.55075746,19.60573384,20.22826896,23.42929075,21.17388528,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Seychelles,SYC,4.248395139,0.571808231,0.505036067,0.625464048,0.963233962,0.630526085,1.288574303,1.298537644,1.352935548,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sierra Leone,SLE,91.28215225,89.28415166,85.38656001,84.17509258,80.34597479,78.42975555,75.22477528,73.05428622,77.66055863,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Singapore,SGP,0.194833724,0.325118893,0.478419172,0.475165157,0.469261488,0.495199918,0.555974866,0.621625223,0.708635297,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,0.049934062,0.048935667,0.047959511,0.046334032,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Slovak Republic,SVK,2.225335934,3.728088583,9.999141564,10.27973566,10.35756693,10.47258454,10.67838221,12.24275155,13.40916822,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Slovenia,SVN,12.35195059,15.86476462,19.02836498,19.50475385,18.58643293,19.70462575,22.00563259,22.30048656,20.87739614,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Solomon Islands,SLB,59.01436959,66.90179033,64.00517079,63.48961794,63.6749209,63.53150158,63.43069834,62.99314064,63.3074464,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Somalia,SOM,87.20321653,93.28312275,93.63149641,93.57214496,93.64950584,93.89456064,94.23044997,94.42694974,94.28596661,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,South Africa,ZAF,16.62782171,18.50808046,15.57029253,17.07980233,16.97859476,16.63288545,16.09739397,16.5881622,17.15014125,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,South Sudan,SSD,..,..,..,..,..,30.19682128,29.70165497,29.82963329,39.07438432,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Spain,ESP,10.54443118,7.884334625,12.21794729,14.39578579,14.74592653,15.77095021,16.9499657,17.3517358,16.25409774,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sri Lanka,LKA,78.0872449,64.15656553,63.50919518,61.84228066,59.24946453,60.6912926,59.87225334,57.58518113,52.87589204,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,St. Kitts and Nevis,KNA,40.03232618,26.6385794,0.012701915,0.992490943,0.927705413,1.327948342,1.512150826,1.697402808,1.642191194,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,St. Lucia,LCA,5.467459385,2.615928342,2.255494717,2.204035523,2.177751912,2.178078022,2.173729698,2.145866181,2.132623536,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,St. Vincent and the Grenadines,VCT,15.43977328,8.491270771,4.367260075,5.486490891,6.546934469,5.191932616,6.007107459,5.800947299,5.807433397,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sudan,SDN,73.26663513,80.42213461,63.28098443,61.44174976,63.97146086,59.81755319,61.30915496,62.43602847,61.59674748,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Suriname,SUR,..,26.47467036,28.65052533,24.54433933,25.44612724,23.04923094,25.96714517,25.38253637,24.91311036,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sweden,SWE,34.06199197,40.00825867,47.0773642,45.97780593,46.48702965,49.9485495,48.82522226,49.69341469,53.2477698,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Switzerland,CHE,17.12391004,18.63012414,20.75387289,21.46036384,21.55703291,22.95850279,22.99251967,23.41814723,25.29198368,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Syrian Arab Republic,SYR,2.360017397,2.000425733,0.933023195,1.410584971,1.903355508,2.519695713,2.8582156,2.353229564,0.521155172,..,..,..
